artist_id,artist_genres
4Gso3d4CscCijv0lmajZWs,"pop rap, rap, trap"
2hlmm7s2ICUX0LVIhVFlZQ,"atl hip hop, melodic rap, rap, trap"
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
5cj0lLjcoR7YOSnhnX0Po5,"dance pop, pop"
66CXWjxzNUsdJxJ2JdwvnR,pop
6qqNVTkY8uBg9cP3Jd7DAH,"art pop, pop"
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap"
5YGY8feqx7naU7z4HrwZM6,pop
2bA6fzP0lMAQ4kz6CF61w8,"classic oklahoma country, contemporary country, country, country road"
4V8LLVI7PbaPR0K2TGSxFF,"hip hop, rap"
5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap"
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
0n4Fao9kbjgM76RmVlfSwr,
6l3HvQ5sa6mXTsMTB19rO5,"conscious hip hop, hip hop, north carolina hip hop, rap"
5cj0lLjcoR7YOSnhnX0Po5,"dance pop, pop"
4oUHIQIBe0LHzYfvXNW4QM,contemporary country
45dkTj5sMRSjrmBSBeiHym,"alt z, pop"
1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, rap"
0Y6dVaC9DZtPNH4591M42W,pov: indie
3LZZPxNDGDFVSIPqf4JuEf,bronx drill
74KM79TiuVKeVCqs8QtB0B,pop
52iwsT98xCoGgiGntTiR7K,"rap canario, trap latino, urbano latino"
4bJh7sMPcVRiqe5jlnsWQV,"flamenco urbano, urbano espanol"
716NhGYqD1jl2wI1Qkgq36,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
7iK8PXO48WeuP03g8YR51W,"reggaeton, trap latino, urbano latino"
6C2mFGFh8dz1vKp9l5Ce8P,
