playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id
Top 50 - New Zealand,Fast Car,2M9ro2krNb7nr7HSprkEgo,False,85,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,https://i.scdn.co/image/ab67616d0000b27390b8a540137ee2a718a369f9,1988-04-05,Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP
Top 50 - New Zealand,Houdini,4OMJGnvZfDvsePyCwRGO7X,False,95,Houdini,5pTaRVLwZOFObIbRBubmeb,https://i.scdn.co/image/ab67616d0000b273001d5706fddc72561f6488af,2023-11-09,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
Top 50 - New Zealand,Surround Sound (feat. 21 Savage & Baby Tate),1udwFobQ1JoOdWPQrp2b6u,True,94,The Forever Story (Extended Version),4rJDCELWL0fjdmN9Gn4f4g,https://i.scdn.co/image/ab67616d0000b273cae6e44dcc84e2035c3ad092,2022-10-31,JID,6U3ybJ9UHNKEdsH7ktGBZ7
Top 50 - New Zealand,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,False,88,Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,2023-03-24,Luke Combs,718COspgdWOnwOFpJHRZHS
Top 50 - New Zealand,In the Air,6r88rMGtfNgC0SJEytTA7c,False,66,L.A.B III,6S2Wk7gzCsJzfArpNgPbHh,https://i.scdn.co/image/ab67616d0000b273ea4c2e8372035c2758e95a3b,2019-12-06,L.A.B.,3eAOH2az3fQIfX2UAw0FfC
Top 50 - New Zealand,Grey,4Fuf1v4kPQ6RIvEGlUfvaq,False,79,Grey,3sNFF8w1fDHGcqRG6bWzhu,https://i.scdn.co/image/ab67616d0000b2732aff51802d10096714e38ac6,2024-01-26,Yung Filly,3OEJ7D4RwbnNFuG9JczKEa
Top 50 - New Zealand,Made For Me,0WIv5qV41y6YjjB9V1biuC,False,80,Made For Me,2VIJu8iWncUpGcv64UOxnv,https://i.scdn.co/image/ab67616d0000b2730969013bba974a554fdf09e3,2023-09-15,Muni Long,7tjVFCxJdwT4NdrTmjyjQ6
Top 50 - New Zealand,exes,4E63weMCaNZuGPEFMnuEi8,True,91,THINK LATER,0OUOx6rJXtL66AzTnP9KUE,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,2023-12-08,Tate McRae,45dkTj5sMRSjrmBSBeiHym
Top 50 - New Zealand,Casanova,4lJLnVBDuYMj6Knll4Wcnc,False,62,Casanova,0XFw2p6US2uootA3nofB65,https://i.scdn.co/image/ab67616d0000b273ee94181839fec6ad82d66705,2023-09-22,L.A.B.,3eAOH2az3fQIfX2UAw0FfC
Top 50 - New Zealand,Saving Up,787Y2idwCU2Rk60Prv4wpr,False,80,Saving Up,3XTTqxcEOZgaTobJlRefvF,https://i.scdn.co/image/ab67616d0000b273585c329dfd9cdeb22b6cd247,2023-10-06,Dom Dolla,205i7E8fNVfojowcQSfK9m
Top 50 - New Zealand,The Night We Met,3hRV0jL3vUpRrcy398teAU,False,92,Strange Trails,3yoNZlqerJnsnMN5EDwwBS,https://i.scdn.co/image/ab67616d0000b2739d2efe43d5b7ebc7cb60ca81,2015-04-07,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25
Top 50 - Australia,Stick Season,0mflMxspEfB0VbI1kyLiAv,False,97,Stick Season,50ZenUP4O2Q5eCy2NRNvuz,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918,2022-10-14,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B
Top 50 - Australia,Lovin On Me,4xhsWYTOGcal8zt0J161CU,True,99,Lovin On Me,6VCO0fDBGbRW8mCEvV95af,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8,2023-11-10,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
Top 50 - Australia,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,False,95,Beautiful Things,29aSKB1qPEbN0Qf9OPSQpw,https://i.scdn.co/image/ab67616d0000b273f2a919d3fa0f2b2593c92d19,2024-01-18,Benson Boone,22wbnEMDvgVIAGdFeek6ET
Top 50 - Australia,greedy,3rUGC1vUpkDG9CZFHMur1t,True,100,greedy,3UOV8XvCwMKaATRNXrYCjN,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8,2023-09-15,Tate McRae,45dkTj5sMRSjrmBSBeiHym
Top 50 - Australia,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,False,99,Lover,1NAmidJlEaVgA3MpcPFYGq,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2019-08-23,Taylor Swift,06HL4z0CvFAxyc27GXpf02
Top 50 - Australia,Prada,59NraMJsLaMCVtwXTSia8i,True,94,Prada,5MU0RmBSpoSxOPYBfcobDc,https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c,2023-08-11,cassö,5wCmhq5J2hPwL2r0eKurxn
